decision_step,minute,c_uf,v_buf,c_aver,m_fp,price,q_uf,q_fp,energy_cost_step,total_energy_cost,reward,safety_violation
1,5,0.6553611159324646,0.04255818948149681,0.6553611159324646,0.22340349853038788,0.46000000834465027,2.5534913539886475,24.652095794677734,1.300843898561975,1.300843898561975,-0.9473560114488616,False
2,10,0.657044529914856,0.045783620327711105,0.657044529914856,0.5209563970565796,0.46000000834465027,2.7470171451568604,27.9986629486084,1.37095908002332,2.6718029785852946,-0.9363102848320288,False
3,15,0.6586371660232544,0.056593019515275955,0.6586371660232544,0.8815978765487671,0.46000000834465027,3.3955812454223633,29.3122615814209,1.4036822178268284,4.0754851964121235,-0.902672531378779,False
4,20,0.6601964235305786,0.06386563181877136,0.6601964235305786,1.297104835510254,0.46000000834465027,3.831937789916992,32.66081237792969,1.5009514062001674,5.576436602612292,-0.9353492398344039,False
5,25,0.6617246866226196,0.0704847052693367,0.6617246866226196,1.7597334384918213,0.46000000834465027,4.229082107543945,32.83207702636719,1.5066713179463194,7.083107920558612,-0.8933755984722966,False
6,30,0.6632448434829712,0.0750201940536499,0.6632448434829712,2.257805347442627,0.46000000834465027,4.501211643218994,32.83245849609375,1.5068268865965933,8.589934807155206,-0.8580724082650124,False
7,35,0.664885938167572,0.06935668736696243,0.664885938167572,2.73378586769104,0.46000000834465027,4.161401271820068,34.1055793762207,1.54968905852896,10.139623865684166,-0.9187396317173653,False
8,40,0.6664584279060364,0.07488436996936798,0.6664584279060364,3.2344768047332764,0.46000000834465027,4.4930620193481445,33.75894546508789,1.5378172146128544,11.677441080297024,-0.8833443648374384,False
9,45,0.6681297421455383,0.06852604448795319,0.6681297421455383,3.7104692459106445,0.46000000834465027,4.111562728881836,34.468841552734375,1.5625520161281163,13.23999309642514,-0.9303045194143817,False
10,50,0.6697065234184265,0.07454738020896912,0.6697065234184265,4.21318244934082,0.46000000834465027,4.472842693328857,33.93987274169922,1.5440613765349647,14.784054472960104,-0.8869421864888438,False
11,55,0.671360194683075,0.0686953216791153,0.671360194683075,4.694397926330566,0.46000000834465027,4.1217193603515625,34.583770751953125,1.5666908311678056,16.350745304127912,-0.928806213573143,False
12,60,0.6729345917701721,0.07306143641471863,0.6729345917701721,5.194115161895752,0.46000000834465027,4.383686065673828,34.16372299194336,1.5518453520002862,17.902590656128197,-0.8969436516438993,False
13,65,0.6744222044944763,0.07908342033624649,0.6744222044944763,5.735777854919434,0.46000000834465027,4.745005130767822,33.58273696899414,1.5319374888393216,19.434528144967523,-0.8370808636251024,False
